date_id,Year,Month,Dayweek,Day of week,Holiday Indicator
D1,2024,12,Friday,Weekday,Christmas
D2,2024,12,Friday,Weekday,Non-Holiday
D3,2024,12,Monday,Weekday,Non-Holiday
D4,2024,12,Monday,Weekday,Christmas
D5,2024,12,Saturday,Weekend,Non-Holiday
D6,2024,12,Saturday,Weekend,Christmas
D7,2024,12,Sunday,Weekend,Non-Holiday
D8,2024,12,Sunday,Weekend,Christmas
D9,2024,12,Thursday,Weekday,Non-Holiday
D10,2024,12,Thursday,Weekday,Christmas
D11,2024,12,Tuesday,Weekday,Christmas
D12,2024,12,Tuesday,Weekday,Non-Holiday
D13,2024,12,Wednesday,Weekday,Christmas
D14,2024,12,Wednesday,Weekday,Non-Holiday
D15,2024,11,Friday,Weekday,Non-Holiday
D16,2024,11,Monday,Weekday,Non-Holiday
D17,2024,11,Saturday,Weekend,Non-Holiday
D18,2024,11,Sunday,Weekend,Non-Holiday
D19,2024,11,Thursday,Weekday,Non-Holiday
D20,2024,11,Tuesday,Weekday,Non-Holiday
D21,2024,11,Wednesday,Weekday,Non-Holiday
D22,2024,10,Friday,Weekday,Non-Holiday
D23,2024,10,Monday,Weekday,Non-Holiday
D24,2024,10,Saturday,Weekend,Non-Holiday
D25,2024,10,Sunday,Weekend,Non-Holiday
D26,2024,10,Thursday,Weekday,Non-Holiday
D27,2024,10,Tuesday,Weekday,Non-Holiday
D28,2024,10,Wednesday,Weekday,Non-Holiday
D29,2024,9,Friday,Weekday,Non-Holiday
D30,2024,9,Monday,Weekday,Non-Holiday
D31,2024,9,Saturday,Weekend,Non-Holiday
D32,2024,9,Sunday,Weekend,Non-Holiday
D33,2024,9,Thursday,Weekday,Non-Holiday
D34,2024,9,Tuesday,Weekday,Non-Holiday
D35,2024,9,Wednesday,Weekday,Non-Holiday
D36,2024,8,Friday,Weekday,Non-Holiday
D37,2024,8,Monday,Weekday,Non-Holiday
D38,2024,8,Saturday,Weekend,Non-Holiday
D39,2024,8,Sunday,Weekend,Non-Holiday
D40,2024,8,Thursday,Weekday,Non-Holiday
D41,2024,8,Tuesday,Weekday,Non-Holiday
D42,2024,8,Wednesday,Weekday,Non-Holiday
D43,2024,7,Friday,Weekday,Non-Holiday
D44,2024,7,Monday,Weekday,Non-Holiday
D45,2024,7,Saturday,Weekend,Non-Holiday
D46,2024,7,Sunday,Weekend,Non-Holiday
D47,2024,7,Thursday,Weekday,Non-Holiday
D48,2024,7,Tuesday,Weekday,Non-Holiday
D49,2024,7,Wednesday,Weekday,Non-Holiday
D50,2024,6,Friday,Weekday,Non-Holiday
D51,2024,6,Monday,Weekday,Non-Holiday
D52,2024,6,Saturday,Weekend,Non-Holiday
D53,2024,6,Sunday,Weekend,Non-Holiday
D54,2024,6,Thursday,Weekday,Non-Holiday
D55,2024,6,Tuesday,Weekday,Non-Holiday
D56,2024,6,Wednesday,Weekday,Non-Holiday
D57,2024,5,Friday,Weekday,Non-Holiday
D58,2024,5,Monday,Weekday,Non-Holiday
D59,2024,5,Saturday,Weekend,Non-Holiday
D60,2024,5,Sunday,Weekend,Non-Holiday
D61,2024,5,Thursday,Weekday,Non-Holiday
D62,2024,5,Tuesday,Weekday,Non-Holiday
D63,2024,5,Wednesday,Weekday,Non-Holiday
D64,2024,4,Friday,Weekday,Non-Holiday
D65,2024,4,Monday,Weekday,Non-Holiday
D66,2024,4,Monday,Weekday,Easter
D67,2024,4,Saturday,Weekend,Non-Holiday
D68,2024,4,Sunday,Weekend,Non-Holiday
D69,2024,4,Thursday,Weekday,Non-Holiday
D70,2024,4,Tuesday,Weekday,Non-Holiday
D71,2024,4,Wednesday,Weekday,Non-Holiday
D72,2024,3,Friday,Weekday,Non-Holiday
D73,2024,3,Friday,Weekday,Easter
D74,2024,3,Monday,Weekday,Non-Holiday
D75,2024,3,Saturday,Weekend,Non-Holiday
D76,2024,3,Saturday,Weekend,Easter
D77,2024,3,Sunday,Weekend,Non-Holiday
D78,2024,3,Sunday,Weekend,Easter
D79,2024,3,Thursday,Weekday,Non-Holiday
D80,2024,3,Thursday,Weekday,Easter
D81,2024,3,Tuesday,Weekday,Non-Holiday
D82,2024,3,Wednesday,Weekday,Non-Holiday
D83,2024,2,Friday,Weekday,Non-Holiday
D84,2024,2,Monday,Weekday,Non-Holiday
D85,2024,2,Saturday,Weekend,Non-Holiday
D86,2024,2,Sunday,Weekend,Non-Holiday
D87,2024,2,Thursday,Weekday,Non-Holiday
D88,2024,2,Tuesday,Weekday,Non-Holiday
