lga_id,LGA,Dwellings Count
LGA0,Unknown,0
LGA1,Albury,25430
LGA2,Armidale Regional,12955
LGA3,Ballina,20889
LGA4,Balranald,1091
LGA5,Bathurst Regional,18458
LGA6,Bayside (NSW),74840
LGA7,Bega Valley,18867
LGA8,Bellingen,6390
LGA9,Berrigan,4265
LGA10,Blacktown,133984
LGA11,Bland,3107
LGA12,Blayney,3246
LGA13,Blue Mountains,35239
LGA14,Bogan,1306
LGA15,Bourke,1317
LGA16,Brewarrina,740
LGA17,Broken Hill,9591
LGA18,Burwood,16201
LGA19,Byron,16996
LGA20,Cabonne,5895
LGA21,Camden,39601
LGA22,Campbelltown (NSW),63128
LGA23,Canada Bay,39121
LGA24,Canterbury-Bankstown,133438
LGA25,Carrathool,1312
LGA26,Central Coast (NSW),152870
LGA27,Central Darling,1065
LGA28,Cessnock,25812
LGA29,Clarence Valley,26143
LGA30,Cobar,2320
LGA31,Coffs Harbour,34696
LGA32,Coolamon,1974
LGA33,Coonamble,1825
LGA34,Cootamundra-Gundagai Regional,5510
LGA35,Cowra,6267
LGA36,Cumberland,83189
LGA37,Dubbo Regional,22823
LGA38,Dungog,4224
LGA39,Edward River,4252
LGA40,Eurobodalla,24600
LGA41,Fairfield,67658
LGA42,Federation,6546
LGA43,Forbes,4373
LGA44,Georges River,58429
LGA45,Gilgandra,2137
LGA46,Glen Innes Severn,4610
LGA47,Goulburn Mulwaree,14739
LGA48,Greater Hume Shire,4846
LGA49,Griffith,10833
LGA50,Gunnedah,5842
LGA51,Gwydir,2443
LGA52,Hawkesbury,25523
LGA53,Hay,1552
LGA54,Hilltops,9220
LGA55,Hornsby,55952
LGA56,Hunters Hill,5323
LGA57,Inner West,85462
LGA58,Inverell,8137
LGA59,Junee,2519
LGA60,Kempsey,14292
LGA61,Kiama,10785
LGA62,Ku-ring-gai,45894
LGA63,Kyogle,4688
LGA64,Lachlan,3014
LGA65,Lake Macquarie,88908
LGA66,Lane Cove,17340
LGA67,Leeton,4705
LGA68,Lismore,19781
LGA69,Lithgow,10236
LGA70,Liverpool,77895
LGA71,Liverpool Plains,3694
LGA72,Lockhart,1417
LGA73,Maitland,35456
LGA74,Mid-Coast,50474
LGA75,Mid-Western Regional,12262
LGA76,Moree Plains,6230
LGA77,Mosman,13410
LGA78,Murray River,6268
LGA79,Murrumbidgee,1647
LGA80,Muswellbrook,7333
LGA81,Nambucca Valley,10016
LGA82,Narrabri,5997
LGA83,Narrandera,2694
LGA84,Narromine,2851
LGA85,Newcastle,74585
LGA86,North Sydney,39034
LGA87,Northern Beaches,105115
