location_id,lga_id,State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021
L1,LGA115,NSW,Inner Regional Australia,Riverina,Wagga Wagga
L2,LGA52,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury
L3,LGA525,TAS,Inner Regional Australia,Launceston and North East,Northern Midlands
L4,LGA2,NSW,Outer Regional Australia,New England and North West,Armidale Regional
L5,LGA250,QLD,Inner Regional Australia,Toowoomba,Lockyer Valley
L6,LGA353,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield
L7,LGA0,WA,Unknown,Unknown,Unknown
L8,LGA276,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs
L9,LGA504,TAS,Inner Regional Australia,Hobart,Brighton
L10,LGA531,TAS,Outer Regional Australia,Launceston and North East,West Tamar
L11,LGA323,SA,Outer Regional Australia,South Australia - South East,Mid Murray
L12,LGA13,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains
L13,LGA113,NSW,Inner Regional Australia,Capital Region,Upper Lachlan
L14,LGA355,SA,Outer Regional Australia,South Australia - South East,Wattle Range
L15,LGA224,QLD,Outer Regional Australia,Cairns,Cairns
L16,LGA553,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT
L17,LGA126,NSW,Major Cities of Australia,Illawarra,Wollongong
L18,LGA92,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith
L19,LGA112,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter
L20,LGA275,QLD,Outer Regional Australia,Wide Bay,South Burnett
L21,LGA75,NSW,Outer Regional Australia,Central West,Mid-Western Regional
L22,LGA24,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown
L23,LGA177,VIC,Inner Regional Australia,Hume,Mitchell
L24,LGA48,NSW,Outer Regional Australia,Murray,Greater Hume
L25,LGA276,QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs
L26,LGA296,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa
L27,LGA93,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings
L28,LGA253,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay
L29,LGA235,QLD,Outer Regional Australia,Cairns,Douglas
L30,LGA359,SA,Inner Regional Australia,South Australia - South East,Yankalilla
L31,LGA251,QLD,Major Cities of Australia,Logan - Beaudesert,Logan
L32,LGA512,TAS,Outer Regional Australia,Launceston and North East,Dorset
