crash_id,date_id,location_id,road_user_id,person_id,crash_type_id,vehicle_involvement_id,national_road_type_id,time,time_of_day,speed_limit,number_fatalities
20241115,D1,L1,RU1,P1,CT1,VI1,NR1,04:00:00,Night,100.0,1
20241125,D2,L2,RU1,P2,CT1,VI1,NR2,06:15:00,Day,80.0,1
20246013,D1,L3,RU1,P3,CT2,VI1,NR2,09:43:00,Day,50.0,1
20241002,D2,L4,RU1,P4,CT2,VI1,NR3,10:35:00,Day,100.0,1
20243185,D2,L5,RU2,P5,CT2,VI1,NR3,13:00:00,Day,100.0,1
20244016,D1,L6,RU3,P6,CT1,VI1,NR4,13:39:00,Day,100.0,1
20245001,D2,L7,RU1,P7,CT1,VI1,NR5,17:15:00,Day,90.0,1
20243168,D2,L8,RU2,P8,CT2,VI1,NR2,19:00:00,Night,60.0,1
20246003,D2,L9,RU3,P9,CT2,VI1,NR2,19:30:00,Night,50.0,1
20246001,D2,L10,RU1,P10,CT2,VI1,NR3,19:40:00,Night,100.0,1
20244081,D2,L11,RU1,P11,CT1,VI1,NR2,22:42:00,Night,50.0,1
20241087,D2,L12,RU4,P12,CT1,VI1,NR3,23:00:00,Night,70.0,1
20241054,D2,L13,RU1,P13,CT2,VI2,NR3,23:10:00,Night,110.0,1
20244042,D3,L14,RU1,P14,CT1,VI1,NR2,01:00:00,Night,100.0,1
20243246,D3,L15,RU4,P1,CT1,VI1,NR6,09:00:00,Day,80.0,1
20248007,D4,L16,RU1,P15,CT1,VI1,NR2,10:20:00,Day,,1
20241101,D3,L17,RU1,P16,CT1,VI2,NR3,10:48:00,Day,60.0,1
20241216,D4,L18,RU4,P17,CT1,VI1,NR6,12:05:00,Day,60.0,1
20241300,D3,L19,RU1,P18,CT2,VI1,NR3,13:58:00,Day,100.0,1
20243007,D4,L20,RU1,P19,CT2,VI1,NR3,14:00:00,Day,100.0,1
20241278,D3,L21,RU1,P18,CT1,VI1,NR1,14:43:00,Day,100.0,1
20245005,D4,L7,RU1,P20,CT1,VI1,NR5,15:52:00,Day,110.0,1
20241149,D3,L22,RU4,P21,CT1,VI1,NR6,16:00:00,Day,40.0,1
20245143,D4,L7,RU4,P22,CT1,VI1,NR5,21:04:00,Night,60.0,1
20245039,D4,L7,RU1,P23,CT1,VI1,NR5,21:38:00,Night,110.0,2
20245039,D4,L7,RU1,P11,CT1,VI1,NR5,21:38:00,Night,110.0,2
20242087,D5,L23,RU1,P24,CT1,VI3,NR3,02:27:00,Night,100.0,1
20241068,D5,L24,RU1,P25,CT2,VI4,NR3,03:30:00,Night,110.0,1
20243273,D5,L25,RU1,P16,CT1,VI1,NR2,04:00:00,Night,100.0,1
20245045,D5,L7,RU2,P26,CT1,VI1,NR5,04:20:00,Night,80.0,1
20245093,D5,L7,RU1,P27,CT1,VI1,NR5,08:13:00,Day,60.0,1
20244020,D5,L26,RU3,P7,CT2,VI1,NR4,10:25:00,Day,100.0,1
20244055,D6,L14,RU1,P28,CT2,VI1,NR3,10:36:00,Day,110.0,2
20244055,D6,L14,RU2,P29,CT2,VI1,NR3,10:36:00,Day,110.0,2
20245100,D5,L7,RU1,P30,CT1,VI5,NR5,11:40:00,Day,110.0,1
20241094,D6,L27,RU3,P7,CT2,VI1,NR3,12:10:00,Day,50.0,1
20243160,D6,L28,RU2,P29,CT2,VI1,NR3,14:00:00,Day,100.0,2
20243160,D6,L28,RU1,P31,CT2,VI1,NR3,14:00:00,Day,100.0,2
20243209,D6,L29,RU3,P32,CT2,VI1,NR2,14:00:00,Day,50.0,1
20244001,D6,L30,RU3,P33,CT2,VI1,NR1,14:50:00,Day,100.0,1
20243243,D5,L31,RU3,P34,CT2,VI5,NR4,15:00:00,Day,70.0,1
20245119,D5,L7,RU3,P35,CT1,VI1,NR5,15:10:00,Day,80.0,1
20246016,D5,L32,RU2,P36,CT1,VI1,NR3,15:18:00,Day,100.0,1
20241119,D5,L33,RU5,P14,CT2,VI1,NR2,15:25:00,Day,100.0,2
20241119,D5,L33,RU1,P37,CT2,VI1,NR2,15:25:00,Day,100.0,2
20245133,D5,L7,RU3,P13,CT1,VI1,NR5,16:10:00,Day,110.0,1
20245069,D5,L7,RU3,P38,CT1,VI1,NR5,20:47:00,Night,60.0,1
20241169,D5,L34,RU1,P39,CT1,VI1,NR3,21:30:00,Night,80.0,1
20245161,D5,L7,RU3,P18,CT1,VI1,NR5,22:40:00,Night,70.0,1
20241291,D7,L35,RU1,P40,CT2,VI2,NR3,02:00:00,Night,110.0,1
20243036,D7,L36,RU3,P41,CT1,VI1,NR2,04:00:00,Night,100.0,1
20244026,D7,L37,RU4,P42,CT1,VI1,NR2,06:35:00,Day,50.0,1
20241077,D7,L38,RU4,P43,CT1,VI1,NR6,08:09:00,Day,50.0,1
20241028,D7,L17,RU1,P44,CT2,VI1,NR6,08:20:00,Day,50.0,1
20241022,D7,L39,RU1,P31,CT1,VI1,NR4,11:20:00,Day,100.0,1
20243015,D7,L40,RU3,P38,CT2,VI1,NR2,12:00:00,Day,60.0,1
20245068,D7,L7,RU4,P45,CT1,VI1,NR5,12:07:00,Day,20.0,1
20244023,D7,L26,RU1,P46,CT1,VI1,NR4,12:35:00,Day,100.0,1
20241098,D7,L34,RU3,P40,CT1,VI1,NR4,12:50:00,Day,90.0,1
20243114,D7,L41,RU1,P47,CT1,VI1,NR4,13:00:00,Day,100.0,2
20243114,D7,L41,RU2,P28,CT1,VI1,NR4,13:00:00,Day,100.0,2
20245092,D7,L7,RU3,P48,CT1,VI1,NR5,13:25:00,Day,80.0,1
20241040,D7,L42,RU3,P13,CT2,VI1,NR3,14:15:00,Day,100.0,1
20242188,D8,L43,RU1,P49,CT1,VI3,NR4,14:45:00,Day,100.0,1
20241174,D7,L44,RU1,P50,CT2,VI1,NR1,14:48:00,Day,60.0,1
20241088,D7,L45,RU1,P25,CT2,VI1,NR1,16:00:00,Day,100.0,1
20245031,D7,L7,RU2,P51,CT1,VI1,NR5,17:00:00,Day,80.0,1
20242136,D7,L46,RU1,P52,CT2,VI6,NR1,17:48:00,Day,100.0,1
20241255,D7,L47,RU1,P53,CT2,VI1,NR1,18:20:00,Night,100.0,1
20241053,D7,L48,RU1,P26,CT1,VI1,NR1,22:19:00,Night,100.0,2
20241053,D7,L48,RU2,P26,CT1,VI1,NR1,22:19:00,Night,100.0,2
20243046,D7,L49,RU1,P54,CT1,VI1,NR6,23:00:00,Night,60.0,2
20243046,D7,L49,RU2,P55,CT1,VI1,NR6,23:00:00,Night,60.0,2
20245107,D7,L7,RU3,P52,CT1,VI1,NR5,23:12:00,Night,70.0,1
20241080,D9,L50,RU1,P56,CT1,VI1,NR1,01:39:00,Night,60.0,1
20245130,D10,L7,RU1,P57,CT1,VI1,NR5,09:50:00,Day,110.0,1
20243044,D9,L51,RU2,P58,CT2,VI2,NR3,12:00:00,Day,100.0,1
20246009,D10,L52,RU3,P59,CT2,VI1,NR4,12:28:00,Day,60.0,1
20241274,D9,L53,RU2,P60,CT2,VI1,NR3,15:40:00,Day,100.0,1
20241240,D9,L54,RU4,P61,CT1,VI1,NR3,17:25:00,Day,60.0,1
20243176,D11,L15,RU2,P58,CT1,VI1,NR6,04:00:00,Night,60.0,1
20245006,D12,L7,RU4,P62,CT1,VI1,NR5,06:54:00,Day,60.0,1
20241181,D11,L55,RU4,P63,CT1,VI2,NR3,08:30:00,Day,110.0,1
20243110,D11,L56,RU1,P64,CT1,VI1,NR2,11:00:00,Day,60.0,1
20242037,D12,L57,RU1,P32,CT1,VI3,NR4,13:20:00,Day,100.0,1
20244044,D12,L58,RU3,P65,CT1,VI1,NR4,13:30:00,Day,100.0,1
20243090,D12,L59,RU1,P66,CT1,VI1,NR5,14:00:00,Day,60.0,1
20243147,D12,L60,RU1,P19,CT1,VI1,NR3,15:00:00,Day,80.0,1
20245083,D12,L7,RU1,P67,CT1,VI1,NR5,17:58:00,Day,110.0,1
20244019,D11,L61,RU3,P38,CT1,VI1,NR6,18:30:00,Night,100.0,1
20241194,D12,L62,RU1,P68,CT2,VI7,NR1,21:10:00,Night,80.0,1
20241139,D12,L63,RU3,P69,CT2,VI8,NR2,22:55:00,Night,50.0,1
20241197,D12,L64,RU1,P52,CT2,VI2,NR3,23:55:00,Night,100.0,1
20243220,D13,L60,RU4,P18,CT1,VI1,NR6,00:00:00,Night,100.0,1
20243267,D14,L65,RU1,P27,CT2,VI1,NR3,04:00:00,Night,90.0,1
20241057,D14,L66,RU2,P70,CT1,VI1,NR3,12:25:00,Day,110.0,1
20245164,D14,L7,RU1,P41,CT1,VI1,NR5,12:54:00,Day,110.0,1
20243174,D13,L40,RU1,P71,CT2,VI1,NR3,16:00:00,Day,80.0,1
20242148,D14,L67,RU1,P25,CT2,VI3,NR5,16:10:00,Day,100.0,1
20241166,D13,L68,RU1,P53,CT1,VI1,NR4,17:00:00,Day,100.0,1
20243213,D15,L69,RU1,P72,CT2,VI2,NR3,02:00:00,Night,100.0,1
20241096,D15,L42,RU1,P73,CT1,VI1,NR3,04:44:00,Night,100.0,1
20242089,D15,L70,RU1,P8,CT2,VI1,NR1,07:05:00,Day,60.0,1
20245012,D15,L7,RU3,P74,CT1,VI1,NR5,07:10:00,Day,60.0,1
20245070,D15,L7,RU1,P74,CT1,VI5,NR5,09:00:00,Day,100.0,1
20243073,D15,L71,RU3,P40,CT1,VI1,NR4,10:00:00,Day,70.0,1
20241027,D15,L72,RU1,P75,CT1,VI1,NR3,10:50:00,Day,100.0,1
20241163,D15,L45,RU3,P14,CT1,VI1,NR4,12:42:00,Day,100.0,1
20243143,D15,L73,RU1,P76,CT1,VI1,NR2,13:00:00,Day,100.0,1
20241222,D15,L74,RU3,P77,CT2,VI1,NR3,14:30:00,Day,100.0,1
20241218,D15,L75,RU1,P78,CT1,VI1,NR3,17:30:00,Day,110.0,1
20243249,D15,L76,RU3,P79,CT1,VI1,NR6,18:00:00,Night,100.0,1
20243098,D15,L69,RU2,P80,CT2,VI1,NR4,20:00:00,Night,80.0,1
20241306,D15,L77,RU1,P69,CT1,VI1,NR6,22:35:00,Night,60.0,1
